Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MKTX,MKTX,MKTX,MKTX,MKTX,MKTX
Date,,,,,,
2023-09-11,218.70071411132812,224.77000427246094,231.00999450683594,223.83999633789062,228.49000549316406,579100
2023-09-12,216.0638885498047,222.05999755859375,228.9199981689453,221.2899932861328,224.67999267578125,499700
2023-09-13,214.50709533691406,220.4600067138672,226.4600067138672,218.6999969482422,221.64999389648438,552300
2023-09-14,222.8554229736328,229.0399932861328,230.4499969482422,219.99000549316406,219.99000549316406,528100
2023-09-15,218.56448364257812,224.6300048828125,233.50999450683594,222.27999877929688,230.4199981689453,1483000
2023-09-18,220.9872589111328,227.1199951171875,227.4499969482422,222.35000610351562,223.57000732421875,325200
2023-09-19,218.09744262695312,224.14999389648438,228.55999755859375,223.91000366210938,227.44000244140625,359400
2023-09-20,217.24122619628906,223.27000427246094,226.05999755859375,221.89999389648438,224.61000061035156,290800
2023-09-21,209.2139892578125,215.02000427246094,223.8800048828125,214.99000549316406,222.10000610351562,376200
2023-09-22,210.13832092285156,215.97000122070312,218.86000061035156,215.1300048828125,215.61000061035156,407000
2023-09-25,205.58468627929688,211.2899932861328,214.35000610351562,210.08999633789062,213.89999389648438,327700
2023-09-26,200.1456298828125,205.6999969482422,210.72000122070312,205.4499969482422,210.36000061035156,473700
2023-09-27,196.3314971923828,201.77999877929688,207.07000732421875,201.75999450683594,206.41000366210938,487400
2023-09-28,203.77490234375,209.42999267578125,209.49000549316406,200.00999450683594,202.83999633789062,585700
2023-09-29,207.87124633789062,213.63999938964844,216.80999755859375,210.07000732421875,212.14999389648438,950200
2023-10-02,204.28089904785156,209.9499969482422,213.77000427246094,208.25999450683594,212.9600067138672,363900
2023-10-03,199.2310028076172,204.75999450683594,211.38999938964844,204.08999633789062,208.41000366210938,298000
2023-10-04,207.52098083496094,213.27999877929688,214.13999938964844,204.4199981689453,205.0500030517578,714400
2023-10-05,219.5180206298828,225.61000061035156,226.58999633789062,210.82000732421875,210.82000732421875,787600
2023-10-06,232.2837677001953,238.72999572753906,240.25,231.91000366210938,233.5,885000
2023-10-09,230.8048095703125,237.2100067138672,239.1300048828125,234.6699981689453,234.9199981689453,542600
2023-10-10,227.36038208007812,233.6699981689453,240.0399932861328,232.99000549316406,237.3300018310547,397800
2023-10-11,230.20155334472656,236.58999633789062,236.8000030517578,231.9199981689453,233.86000061035156,359100
2023-10-12,233.9573211669922,240.4499969482422,241.61000061035156,235.9600067138672,237.36000061035156,593800
2023-10-13,232.33241271972656,238.77999877929688,241.39999389648438,235.52000427246094,241.39999389648438,294200
2023-10-16,235.50436401367188,242.0399932861328,245.97999572753906,239.75999450683594,241.30999755859375,451600
2023-10-17,234.20057678222656,240.6999969482422,243.1699981689453,239.5,240.97000122070312,247300
2023-10-18,230.05560302734375,236.44000244140625,239.85000610351562,236.14999389648438,239.80999755859375,304900
2023-10-19,228.4890594482422,234.8300018310547,238.17999267578125,234.33999633789062,236.32000732421875,348900
2023-10-20,229.0242462158203,235.3800048828125,237.85000610351562,233.22000122070312,235.3000030517578,473200
2023-10-23,228.93663024902344,235.2899932861328,239.14999389648438,232.39999389648438,234.27999877929688,474100
2023-10-24,229.54965209960938,235.9199981689453,238.0800018310547,233.97999572753906,235.55999755859375,360100
2023-10-25,208.29937744140625,214.0800018310547,234.22000122070312,203.2100067138672,230.22000122070312,1343800
2023-10-26,206.8593292236328,212.60000610351562,223.89999389648438,208.58999633789062,215.58999633789062,720700
2023-10-27,200.44725036621094,206.00999450683594,219.97999572753906,204.5,214.3699951171875,553200
2023-10-30,208.3674774169922,214.14999389648438,215.5500030517578,208.6699981689453,208.75,625800
2023-10-31,207.978271484375,213.75,214.05999755859375,208.66000366210938,213.5500030517578,362600
2023-11-01,211.37403869628906,217.24000549316406,218.07000732421875,213.1300048828125,213.75999450683594,454700
